"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/01/01","00:00","-0.808","-","-1.37"
"2022/01/01","01:00","-1.075","-","-1.59"
"2022/01/01","02:00","-0.291","-","-0.78"
"2022/01/01","03:00","1.33","-","0.86"
"2022/01/01","04:00","3.389","-","2.97"
"2022/01/01","05:00","5.407","-","4.95"
"2022/01/01","06:00","6.946","-","6.48"
"2022/01/01","07:00","7.708","-","7.16"
"2022/01/01","08:00","7.61","-","7.09"
"2022/01/01","09:00","6.811","-","6.24"
"2022/01/01","10:00","5.659","-","5.02"
"2022/01/01","11:00","4.581","-","3.96"
"2022/01/01","12:00","3.96","-","3.37"
"2022/01/01","13:00","4.053","-","3.54"
"2022/01/01","14:00","4.93","-","4.56"
"2022/01/01","15:00","6.432","-","6.09"
"2022/01/01","16:00","8.198","-","7.98"
"2022/01/01","17:00","9.754","-","9.4"
"2022/01/01","18:00","10.643","-","10.4"
"2022/01/01","19:00","10.542","-","10.26"
"2022/01/01","20:00","9.347","-","9.07"
"2022/01/01","21:00","7.216","-","7"
"2022/01/01","22:00","4.542","-","4.35"
"2022/01/01","23:00","1.851","-","1.65"
"2022/01/02","00:00","-0.329","-","-0.49"
"2022/01/02","01:00","-1.58","-","-1.74"
"2022/01/02","02:00","-1.672","-","-1.72"
"2022/01/02","03:00","-0.618","-","-0.59"
"2022/01/02","04:00","1.308","-","1.53"
"2022/01/02","05:00","3.64","-","3.91"
"2022/01/02","06:00","5.844","-","6.15"
"2022/01/02","07:00","7.45","-","7.88"
"2022/01/02","08:00","8.162","-","8.56"
"2022/01/02","09:00","7.932","-","8.35"
"2022/01/02","10:00","6.968","-","7.3"
"2022/01/02","11:00","5.667","-","6.03"
"2022/01/02","12:00","4.495","-","4.95"
"2022/01/02","13:00","3.859","-","4.29"
"2022/01/02","14:00","4.02","-","4.6"
"2022/01/02","15:00","5.024","-","5.71"
"2022/01/02","16:00","6.667","-","7.46"
"2022/01/02","17:00","8.533","-","9.34"
"2022/01/02","18:00","10.104","-","11"
"2022/01/02","19:00","10.907","-","11.84"
"2022/01/02","20:00","10.628","-","11.54"
"2022/01/02","21:00","9.201","-","10.26"
"2022/01/02","22:00","6.839","-","8"
"2022/01/02","23:00","3.987","-","5.02"
"2022/01/03","00:00","1.213","-","2.29"
"2022/01/03","01:00","-0.934","-","0.3"
"2022/01/03","02:00","-2.036","-","-0.7"
"2022/01/03","03:00","-1.887","-","-0.62"
"2022/01/03","04:00","-0.554","-","0.6"
"2022/01/03","05:00","1.624","-","2.89"
"2022/01/03","06:00","4.125","-","5.48"
"2022/01/03","07:00","6.383","-","7.73"
"2022/01/03","08:00","7.929","-","9.33"
"2022/01/03","09:00","8.493","-","9.89"
"2022/01/03","10:00","8.074","-","9.39"
"2022/01/03","11:00","6.931","-","8.31"
"2022/01/03","12:00","5.505","-","6.97"
"2022/01/03","13:00","4.286","-","5.83"
"2022/01/03","14:00","3.687","-","5.39"
"2022/01/03","15:00","3.952","-","5.72"
"2022/01/03","16:00","5.089","-","6.8"
"2022/01/03","17:00","6.84","-","8.73"
"2022/01/03","18:00","8.743","-","10.39"
